player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Snapback;Memnite;Elspeth, Knight Errant Emblem;00;00;02;06;06;06;04;06;06;06;02;00;18
Michael W;Mercadian Bazaar;Chandra, Awakened Inferno;Rowan Kenrith Emblem;06;00;06;06;00;00;06;00;00;00;06;06;18
NumiChan;Yavimaya Hollow;Helix Pinnacle;Serra the Benevolent Emblem;02;00;00;00;00;02;06;02;00;00;02;00;18
lollonator;Isochron Scepter;Lightning Helix;Will Kenrith Emblem;00;00;06;00;00;00;06;00;00;00;00;06;18
Master_of_Desaster;Shelldock Isle;Ulamog, the Infinite Gyre;Elspeth, Knight Errant Emblem;00;06;06;06;00;00;00;00;00;06;00;06;18
The Beast;Invisible Stalker;Pithing Needle;Serra the Benevolent Emblem;00;06;02;06;06;00;02;03;06;00;00;06;18
Hoempes;Ensnaring Bridge;Scalding Tongs;Elspeth, Knight Errant Emblem;01;00;00;00;06;02;00;01;06;06;00;00;18
BlackHole;Magus of the Moon;Thalia, Guardian of Thraben;Daretti, Scrap Savant Emblem;00;06;02;06;06;03;04;00;06;04;00;03;18
hug77;Shelldock Isle;Emrakul, the Aeons Torn;Elspeth, Knight Errant Emblem;00;06;06;06;06;00;00;00;00;06;00;06;18
the green one;Stronghold Gambit;Emrakul, the Aeons Torn;Will Kenrith Emblem;00;06;06;06;00;06;00;01;00;00;00;06;18
»Arcanis«;Island;Chancellor of the Forge;Will Kenrith Emblem;02;00;02;06;06;06;06;06;06;06;00;00;18
P0LTERGEIST;Pyrite Spellbomb;Pyrite Spellbomb;Daretti, Scrap Savant Emblem;06;00;06;00;00;00;06;03;00;00;06;00;18
